d_gap_front_nm,front_window_mean_deltaR_stack_400_650,front_window_mean_deltaR_total_400_650,transition_window_max_abs_deltaR_stack_650_810,transition_window_max_abs_deltaR_total_650_810,rear_window_max_abs_deltaR_stack_810_1100,rear_window_max_abs_deltaR_total_810_1100,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent
0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,845.0,102.0,26.353134495021745
0.5,-0.00030348404553134104,-0.0002798382041950142,0.0013616650606292913,0.0013251234215597707,0.002015216620230742,0.0019614940590159113,947.0,845.0,102.0,26.353118869515235
1.0,-0.0005795518008386531,-0.0005343541264206746,0.0027441684961557744,0.002670366610145525,0.004032244220934844,0.0039244090444731095,948.0,845.0,103.0,26.353903250559984
1.5,-0.0008284289064741842,-0.0007637565961504022,0.004146667679964744,0.004034902564539977,0.006050208956681735,0.005887893945052514,948.0,846.0,102.0,26.35660434892936
2.0,-0.0010503522995290219,-0.0009682647289543626,0.005568315162851167,0.005417899888326305,0.008068247987671695,0.007852345241134984,948.0,846.0,102.0,26.357329687965446
2.5,-0.0012455696741056927,-0.001148107434132794,0.007008259965357366,0.006818524063535225,0.010087809147702131,0.009819258262094732,949.0,846.0,103.0,26.357121758691584
3.0,-0.001414338944829192,-0.001303522925260677,0.008465648848228313,0.008235938701556367,0.01210939877701811,0.011786001886191055,949.0,846.0,103.0,26.359950971792035
3.5,-0.00155692771437205,-0.0014347582345204106,0.009939627557828512,0.00966930676821709,0.014130313852276477,0.013751746200419968,949.0,846.0,103.0,26.360446652470905
4.0,-0.0016736127459096692,-0.0015420687316454777,0.011429342043550172,0.011117791780115627,0.016149713829420098,0.015715674254502487,949.0,846.0,103.0,26.358564710504627
4.5,-0.0017646794413632555,-0.0016257176482447904,0.012933939644431458,0.012591072581779494,0.018167976226133198,0.017685000356438496,950.0,846.0,104.0,26.360534340914775
5.0,-0.0018304213262290122,-0.0016859756082244425,0.014463539855824936,0.01408044680790621,0.02019110633242638,0.01965263156170649,950.0,846.0,104.0,26.360953022385313
5.5,-0.0018711395417344231,-0.0017231201649713377,0.01600980959172882,0.015584720482699987,0.02221199828580145,0.02161774298992991,950.0,846.0,104.0,26.35901242214095
6.0,-0.0018871423450052326,-0.001737435345911467,0.01757071708448288,0.01710303069975505,0.024229836689565243,0.02357954318679245,951.0,847.0,104.0,26.35860868844211
6.5,-0.0018787446178709117,-0.0017292112050053595,0.01914538501749352,0.01863451854339704,0.026243821250247268,0.025544108830022116,951.0,847.0,104.0,26.360121005629466
7.0,-0.001846267384881194,-0.0016987433836932677,0.020732940887119633,0.020178330194359773,0.028262465118334856,0.027509804779033753,951.0,847.0,104.0,26.35928130809645
7.5,-0.001790037341053248,-0.0016463326807549814,0.022332518090321107,0.021733617993635823,0.030280483502925004,0.029471514617102512,952.0,847.0,105.0,26.356416950851745
8.0,-0.0017103863898165809,-0.0015722846315018156,0.02394325696917521,0.02329954146279356,0.03229396611195823,0.03142847478225108,952.0,847.0,105.0,26.358122931539373
8.5,-0.0016076511915726103,-0.0014769090966730923,0.02556430581073732,0.024875268279313745,0.034302141634763084,0.033381887985160064,952.0,847.0,105.0,26.35750170885931
9.0,-0.0014821727232370695,-0.0013605198613655788,0.02719482180089794,0.02645997520567933,0.036308502730381,0.035342957252048834,952.0,847.0,105.0,26.354509535239856
9.5,-0.001334295849086321,-0.0012234342442818543,0.028833971931196745,0.02805284897125382,0.03832093312972373,0.03729863281373447,953.0,847.0,106.0,26.35307402310003
10.0,-0.0011643689031836497,-0.0010659727175431626,0.030480933857672143,0.029653087106110032,0.04032740625821585,0.039248181055110076,953.0,847.0,106.0,26.352834241803713
10.5,-0.0009727432836182428,-0.0008884585372731738,0.032134896711143,0.03125989872627799,0.04232718179190631,0.041190885935939225,953.0,848.0,105.0,26.350743052125647
11.0,-0.0007597730587482802,-0.0006912173851220333,0.033795061858438946,0.03287250527000807,0.044319537555501554,0.04313749771008846,953.0,848.0,105.0,26.346726547276344
11.5,-0.0005258145856002175,-0.00047457702086463663,0.03546064361436296,0.034490141184905454,0.04631849776468444,0.04508465280596097,954.0,848.0,106.0,26.347485240051462
12.0,-0.00027122614053876455,-0.00023886694617329137,0.03713086990431258,0.036112054565934026,0.0483154585351403,0.04702436721684833,954.0,848.0,106.0,26.34640547894075
12.5,3.6324377131468082e-06,1.5581920366718664e-05,0.03880498287770062,0.03773750774450191,0.05030439731456471,0.04895595748793724,954.0,848.0,106.0,26.342957254955625
13.0,0.00029840009265878694,0.00028843755696042836,0.040482239472481085,0.03936577782899697,0.05228462547365298,0.05087885051831553,955.0,848.0,107.0,26.33920556998057
13.5,0.0006127148822022641,0.000579367141015317,0.042161911931213436,0.040996157197273564,0.05425835813783708,0.052815154000864895,955.0,848.0,107.0,26.338830919779344
14.0,0.0009462142984286891,0.000888037340278806,0.04384328826933592,0.042627953941817176,0.05624346280471204,0.054742770440342814,955.0,848.0,107.0,26.336122685629547
14.5,0.0012985355750330621,0.0012141145927426068,0.045525672696344666,0.04426049226834183,0.058219289805768515,0.05666105018435308,955.0,849.0,106.0,26.331218330948836
15.0,0.001669315982466612,0.0015572653753784234,0.047208385990805346,0.04589311284880093,0.060185185219540305,0.05856936320756989,956.0,849.0,107.0,26.328836120499133
15.5,0.002058193110893475,0.001917156461791098,0.04889076583018781,0.047525173129847276,0.0621405152566924,0.060475779541043106,956.0,849.0,107.0,26.32792751255608
16.0,0.0024648051410726844,0.002293455168895188,0.050572167076638475,0.04915604759790493,0.0640968374225579,0.06238919754600214,956.0,849.0,107.0,26.32466797283942
16.5,0.00288879110330081,0.002685829592739183,0.05225196201989191,0.05078512800209356,0.06605744504037114,0.06429213618583829,956.0,849.0,107.0,26.319014412188004
17.0,0.0033297911245693504,0.003093948833618438,0.053929540578641744,0.05241182353636131,0.0680069715325512,0.06618400066171282,957.0,849.0,108.0,26.31670579889792
17.5,0.0037874466641081464,0.0035174832106331985,0.05560431046170922,0.054035560982197195,0.06994481915874362,0.06806421656187256,957.0,849.0,108.0,26.314532013339086
18.0,0.004261400737501412,0.003956104465862034,0.057275697290470884,0.055655784813414266,0.0718704110274212,0.06994956192050328,957.0,849.0,108.0,26.31000655621001
18.5,0.004751298129577056,0.004409485958333316,0.05894314468402273,0.05727195726450074,0.07380457032037124,0.07183529765085461,957.0,850.0,107.0,26.30338779065493
19.0,0.005256785596282572,0.00487730284798891,0.06060611430862817,0.058883558364110744,0.07573586387317721,0.07370892307862753,958.0,850.0,108.0,26.301590277503152
19.5,0.005777512055771678,0.0053592322698439825,0.06226408589300869,0.060490085935266835,0.07765443774608072,0.07556989977260054,958.0,850.0,108.0,26.299203372704593
20.0,0.006313128768935945,0.005854953498555632,0.06391655721109513,0.06209105556390482,0.07955975176844798,0.07741771010623555,958.0,850.0,108.0,26.29445617927719
25.0,0.012413523759739054,0.011501969487663221,0.08004098944272531,0.07770099153142229,0.09826863579806278,0.09561651448828579,961.0,851.0,110.0,26.24341149168574
30.0,0.01964207481750597,0.018196135496556413,0.09542422103740211,0.09261190341556635,0.11615294270279763,0.11301198496513443,963.0,853.0,110.0,26.185750542947183
40.0,0.03635736173450733,0.03368839930406669,0.12272112761989973,0.11896459465345144,0.1489288860944129,0.1448903679416491,967.0,856.0,111.0,26.032687801382714
50.0,0.05461058449591962,0.05062625034525789,0.14539713510619756,0.14088309474243954,0.1771393368259383,0.1722796967733452,971.0,861.0,110.0,25.845416409271127
