Wavelength(nm),n,k
400,0.053970,2.139149
410,0.050985,2.254075
420,0.050472,2.365606
430,0.051163,2.473490
440,0.051817,2.575451
450,0.052000,2.674683
460,0.052045,2.772458
470,0.052610,2.865678
480,0.052837,2.958553
490,0.052311,3.050658
500,0.052000,3.141246
510,0.052000,3.229652
520,0.051952,3.317467
530,0.051809,3.404133
540,0.051622,3.490751
550,0.050973,3.576873
560,0.050324,3.662996
570,0.050014,3.747493
580,0.049894,3.831075
590,0.049775,3.914657
600,0.049204,3.998054
610,0.048614,4.081444
620,0.048035,4.164822
630,0.048529,4.247031
640,0.049023,4.329239
650,0.049517,4.411448
660,0.049880,4.492537
670,0.050199,4.573253
680,0.050519,4.653970
690,0.050821,4.734570
700,0.050996,4.814323
710,0.051172,4.894077
720,0.051347,4.973830
730,0.051528,5.053542
740,0.051787,5.132708
750,0.052046,5.211875
760,0.052304,5.291042
770,0.052563,5.370208
780,0.052922,5.448952
790,0.053376,5.527288
800,0.053831,5.605625
810,0.054285,5.683961
820,0.054740,5.762298
830,0.055266,5.840624
840,0.055930,5.918929
850,0.056595,5.997234
860,0.057259,6.075539
870,0.057924,6.153844
880,0.058588,6.232149
890,0.059377,6.309985
900,0.060326,6.387225
910,0.061275,6.464464
920,0.062223,6.541703
930,0.063172,6.618943
940,0.064120,6.696182
950,0.065069,6.773421
960,0.066011,6.850462
970,0.066949,6.927385
980,0.067887,7.004308
990,0.068826,7.081231
1000,0.069764,7.158154
1010,0.070702,7.235077
1020,0.071640,7.312000
1030,0.072579,7.388923
1040,0.073710,7.465319
1050,0.074924,7.541489
1060,0.076137,7.617660
1070,0.077351,7.693830
1080,0.078565,7.770000
1090,0.079779,7.846170
1100,0.080993,7.922340